OBJECTID,NAME,PMA,PARKSBND_AREA,GLOBALID,SHAPE_Length,SHAPE_Area
461,VICTOR STEINBRUECK PARK,338,34522.262031,{1C52CCAD-066B-4513-B265-ADBD7FCF4F83},882.067836145612,34522.1239423127
462,VICTORY CREEK CONFLUENCE NATURAL AREA ON TC,416,2654.038877,{F2B27F3F-CF9A-4DA4-8688-C1BBB51256BC},241.921997456663,2654.02826094068
463,VICTORY CREEK CONFLUENCE NATURAL AREA ON TC,4616,7537.858563,{D3026891-48A4-46AE-B6F6-A55732FFBBEB},381.632979272226,7537.82841231696
464,VICTORY CREEK PARK,4443,43191.647078,{FBD40564-AD11-4B0F-BED1-0138FB942A62},1018.07332498907,43191.4743108537
465,VICTORY HEIGHTS PLAYGROUND,438,68239.459685,{A68A3472-B12C-4BA4-97B3-09379B4F86E4},1239.64356638448,68239.1867265327
466,VIEW RIDGE PLAYFIELD,444,397907.620667,{542FA5C8-6EDD-40F8-A68A-DDB03EE443CF},2523.46114322225,397906.029039578
467,VIRETTA PARK,3098,79936.917458,{AB956BCC-6300-4365-8C0F-54BADF0064DD},1715.19757455104,79936.5977108744
468,VIRGIL FLAIM PARK,4002,120898.968967,{85F6A6B8-E166-4F79-8BEE-A3A37CD256F1},1375.51484599389,120898.485371891
469,VOLUNTEER PARK,399,2104410.097744,{C5AE0443-3CC6-4CBD-B0EA-01FB50550C1B},5768.93685812243,2104401.68010837
470,VOLUNTEER PARKWAY,4033,108166.564946,{88E9B886-AF1C-44A7-A4C9-173B6947FF59},3923.58376909327,108166.132278257
471,WALLINGFORD PLAYFIELD,449,195578.864114,{F534E62B-A635-46AA-8984-C537A18E5B15},1830.72391331526,195578.081799891
472,WALLINGFORD STEPS,4598,8416.537528,{2506D54B-9C23-4A75-B6FA-EB626541E879},417.292598726904,8416.50386253897
473,WALT HUNDLEY PLAYFIELD,3941,489690.487098,{6785BA6E-32D3-4C98-9289-8D789DD83D19},3412.12498336484,489688.528342149
474,WARD SPRINGS PARK,763,14685.152061,{B9CE062E-9531-4255-8ED4-DC827E4BB63D},485.427063983182,14685.0933205177
